AGE,GENDER,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_YEAR,ANNUAL_MILEAGE,VEHICLE_TYPE
65+,female,0-9y,high school,upper class,629.027.313.918.201,after 2015,12000.0,sedan
16-25,male,0-9y,none,poverty,3.577.571.170.184.620,before 2015,16000.0,sedan
16-25,female,0-9y,high school,working class,4.931.457.852.181.980,before 2015,11000.0,sedan
16-25,male,0-9y,university,working class,2.060.128.507.324.550,before 2015,11000.0,sedan
26-39,male,10-19y,none,working class,3.883.658.881.572.180,before 2015,12000.0,sedan
40-64,female,20-29y,high school,upper class,6.191.273.725.847.380,after 2015,13000.0,sedan
65+,male,30y+,high school,upper class,4.929.435.502.195.340,after 2015,13000.0,sedan
26-39,female,0-9y,university,working class,468.689.297.434.465,after 2015,14000.0,sedan
40-64,female,20-29y,university,working class,5.218.149.362.971.060,before 2015,13000.0,sedan
40-64,female,0-9y,high school,upper class,5.615.310.319.383.640,before 2015,11000.0,sedan
65+,male,30y+,high school,upper class,6.203.612.640.126.020,after 2015,10000.0,sedan
65+,female,30y+,high school,upper class,7.298.308.815.593.940,after 2015,12000.0,sedan
40-64,male,20-29y,high school,upper class,6.370.447.435.902.440,before 2015,8000.0,sedan
16-25,female,0-9y,university,upper class,59.125.997.174.597,before 2015,,sedan
26-39,male,10-19y,high school,middle class,4.615.679.630.439.440,before 2015,12000.0,sedan
26-39,female,0-9y,high school,upper class,7.627.979.410.816.130,after 2015,,sedan
65+,male,30y+,university,upper class,7.961.748.462.456.980,before 2015,,sedan
16-25,male,0-9y,none,poverty,,before 2015,12000.0,sedan
26-39,female,0-9y,university,upper class,6.805.942.795.073.380,before 2015,,sedan
16-25,female,0-9y,high school,working class,4.177.139.816.231.180,before 2015,18000.0,sedan
16-25,female,0-9y,high school,working class,4.095.135.306.516.060,before 2015,17000.0,sedan
16-25,male,0-9y,high school,middle class,5.532.600.531.952.380,after 2015,8000.0,sedan
40-64,male,20-29y,none,poverty,3.309.502.618.581.890,before 2015,13000.0,sedan
16-25,male,0-9y,none,poverty,,before 2015,17000.0,sedan
65+,male,30y+,high school,upper class,5.006.306.604.427.160,before 2015,7000.0,sedan
26-39,female,10-19y,university,middle class,5.519.701.813.636.280,before 2015,14000.0,sports car
40-64,male,10-19y,high school,middle class,6.269.960.497.386.650,before 2015,13000.0,sedan
26-39,male,10-19y,none,poverty,29.479.748.077.199.600,before 2015,15000.0,sedan
26-39,male,10-19y,university,middle class,5.519.504.952.618.390,after 2015,17000.0,sedan
65+,male,0-9y,university,upper class,649.820.471.216.227,after 2015,9000.0,sedan
40-64,male,20-29y,high school,middle class,5.218.044.346.397.630,after 2015,7000.0,sedan
65+,female,30y+,university,upper class,7.012.683.240.604.190,before 2015,10000.0,sedan
16-25,male,0-9y,none,poverty,17.124.402.882.132.100,before 2015,9000.0,sedan
16-25,male,0-9y,none,poverty,3.184.419.972.124.170,before 2015,10000.0,sedan
26-39,female,0-9y,high school,middle class,6.046.842.696.715.550,before 2015,11000.0,sedan
16-25,male,0-9y,university,working class,5.049.948.526.440.370,after 2015,8000.0,sedan
26-39,male,10-19y,high school,working class,6.251.466.352.816.210,before 2015,17000.0,sedan
40-64,female,10-19y,none,middle class,,before 2015,11000.0,sedan
65+,male,30y+,university,upper class,,after 2015,12000.0,sports car
